フシギバナ	venusaur
メガフシギバナ	venusaur-mega
リザードン	charizard
メガリザードンx	charizard-mega-x
メガリザードンy	charizard-mega-y
カメックス	blastoise
メガカメックス	blastoise-mega
スピアー	beedrill
メガスピアー	beedrill-mega
ピジョット	pidgeot
メガピジョット	pidgeot-mega
アーボック	arbok
ピカチュウ	pikachu
ライチュウ	raichu
ライチュウ(アローラ)	raichu-alola
メガライチュウx	raichu-mega-x
メガライチュウy	raichu-mega-y
ピクシー	clefable
メガピクシー	clefable-mega
キュウコン	ninetales
キュウコン(アローラ)	ninetales-alola
ラフレシア	vileplume
ウインディ	arcanine
ウインディ(ヒスイ)	arcanine-hisui
フーディン	alakazam
メガフーディン	alakazam-mega
カイリキー	machamp
ウツボット	victreebel
メガウツボット	victreebel-mega
ヤドラン	slowbro
メガヤドラン	slowbro-mega
ヤドラン(ガラル)	slowbro-galar
ゲンガー	gengar
メガゲンガー	gengar-mega
ガルーラ	kangaskhan
メガガルーラ	kangaskhan-mega
スターミー	starmie
メガスターミー	starmie-mega
カイロス	pinsir
メガカイロス	pinsir-mega
ケンタロス	tauros
ケンタロス(パルデア単)	tauros-paldea-combat-breed
ケンタロス(パルデア炎)	tauros-paldea-blaze-breed
ケンタロス(パルデア水)	tauros-paldea-aqua-breed
ギャラドス	gyarados
メガギャラドス	gyarados-mega
メタモン	ditto
シャワーズ	vaporeon
サンダース	jolteon
ブースター	flareon
プテラ	aerodactyl
メガプテラ	aerodactyl-mega
カビゴン	snorlax
カイリュー	dragonite
メガカイリュー	dragonite-mega
メガニウム	meganium
メガメガニウム	meganium-mega
バクフーン	typhlosion
バクフーン(ヒスイ)	typhlosion-hisui
オーダイル	feraligatr
メガオーダイル	feraligatr-mega
アリアドス	ariados
デンリュウ	ampharos
メガデンリュウ	ampharos-mega
マリルリ	azumarill
ニョロトノ	politoed
エーフィ	espeon
ブラッキー	umbreon
ヤドキング	slowking
ヤドキング(ガラル)	slowking-galar
フォレトス	forretress
ハガネール	steelix
メガハガネール	steelix-mega
ハリーセン	qwilfish
ハッサム	scizor
メガハッサム	scizor-mega
ヘラクロス	heracross
メガヘラクロス	heracross-mega
エアームド	skarmory
メガエアームド	skarmory-mega
ヘルガー	houndoom
メガヘルガー	houndoom-mega
バンギラス	tyranitar
メガバンギラス	tyranitar-mega
ジュカイン	sceptile
メガジュカイン	sceptile-mega
バシャーモ	blaziken
メガバシャーモ	blaziken-mega
ラグラージ	swampert
メガラグラージ	swampert-mega
ペリッパー	pelipper
サーナイト	gardevoir
メガサーナイト	gardevoir-mega
ヤミラミ	sableye
メガヤミラミ	sableye-mega
クチート	mawile
メガクチート	mawile-mega
ボスゴドラ	aggron
メガボスゴドラ	aggron-mega
チャーレム	medicham
メガチャーレム	medicham-mega
ライボルト	manectric
メガライボルト	manectric-mega
サメハダー	sharpedo
メガサメハダー	sharpedo-mega
バクーダ	camerupt
